,C=0.01,C=0.02,C=0.03,C=0.1,C=0.2,C=0.3,C=1,C=2,C=3
0.0,9067,9067,9067,9067,9067,9067,9067,9067,9067
0.1,8409,8528,8595,8649,8660,8692,8756,8775,8822
0.2,7774,8013,8102,8225,8281,8348,8451,8521,8564
0.30000000000000004,7158,7509,7627,7796,7917,7968,8145,8255,8302
0.4,6556,6966,7157,7384,7535,7605,7852,7977,8049
0.5,5959,6474,6690,7025,7189,7253,7562,7716,7808
0.6000000000000001,5394,5995,6176,6634,6828,6920,7267,7466,7577
0.7000000000000001,4814,5527,5757,6274,6473,6564,6990,7210,7341
0.8,4316,5077,5333,5926,6120,6237,6690,6972,7102
0.9,3782,4605,4913,5580,5795,5959,6423,6683,6834
1.0,3254,4199,4530,5258,5496,5655,6164,6466,6605
1.1,2717,3781,4170,4897,5202,5372,5922,6197,6408
1.2000000000000002,2231,3376,3767,4584,4907,5091,5627,5968,6154
1.3,1813,2985,3441,4285,4620,4809,5354,5726,5928
1.4000000000000001,1418,2624,3084,3999,4332,4534,5118,5500,5697
1.5,1080,2279,2756,3731,4044,4267,4880,5264,5494
1.6,767,1984,2451,3448,3788,3988,4654,5070,5284
1.7000000000000002,541,1707,2174,3189,3540,3756,4408,4857,5072
1.8,375,1457,1931,2946,3306,3539,4174,4656,4891
1.9000000000000001,274,1224,1678,2696,3070,3282,3984,4447,4693
2.0,193,995,1456,2478,2862,3060,3793,4218,4485
2.1,136,799,1267,2266,2657,2853,3596,4042,4299
2.2,92,646,1075,2061,2465,2680,3388,3846,4102
2.3000000000000003,63,516,898,1881,2271,2511,3218,3673,3959
2.4000000000000004,43,402,738,1699,2118,2329,3059,3513,3786
2.5,30,322,623,1518,1954,2158,2913,3341,3614
2.6,19,262,517,1376,1794,2004,2759,3185,3488
2.7,15,195,425,1256,1646,1852,2595,3046,3341
2.8000000000000003,10,153,355,1112,1518,1721,2433,2914,3212
2.9000000000000004,7,114,284,984,1366,1594,2289,2783,3092
3.0,0,88,241,878,1246,1462,2161,2652,2953
3.1,0,73,189,764,1139,1349,2047,2519,2820
3.2,0,53,154,679,1035,1238,1916,2390,2705
3.3000000000000003,0,40,129,597,951,1123,1794,2259,2560
3.4000000000000004,0,35,105,525,850,1032,1694,2143,2446
3.5,0,25,85,462,777,949,1581,2044,2329
3.6,0,19,77,404,690,881,1481,1923,2230
3.7,0,12,61,351,627,806,1394,1832,2118
3.8000000000000003,0,8,47,308,567,725,1303,1746,2018
3.9000000000000004,0,7,40,264,504,662,1218,1632,1941
4.0,0,4,29,239,458,608,1134,1549,1845
4.1000000000000005,0,2,27,212,411,553,1065,1470,1747
4.2,0,2,19,182,368,510,991,1392,1658
4.3,0,1,14,154,315,461,941,1326,1571
4.4,0,0,11,135,281,419,875,1253,1504
4.5,0,0,9,115,254,384,829,1183,1428
4.6000000000000005,0,0,3,102,226,346,777,1117,1369
4.7,0,0,3,93,199,299,732,1058,1295
4.800000000000001,0,0,3,77,175,273,672,1013,1236
4.9,0,0,3,71,162,253,628,958,1181
5.0,0,0,2,66,151,226,608,911,1126
5.1000000000000005,0,0,0,57,134,206,565,862,1074
5.2,0,0,0,51,115,184,536,820,1035
5.300000000000001,0,0,0,43,106,167,507,782,986
5.4,0,0,0,35,93,143,472,748,940
5.5,0,0,0,29,76,133,437,716,894
